,path,value,color
150,root/MB Glut/CUN-PPN Evx2 Meis2 Glut,1,#CC7A7E
151,root/MB Glut/PBG Mtnr1a Glut-Chol,1,#00CC7F
152,root/MB Glut/PAG Tcf24 Glut,1,#ED0000
153,root/MB Glut/SCig Tfap2b Chrnb3 Glut,1,#002099
154,root/MB Glut/SCop Pou4f2 Neurod2 Glut,1,#FF73FF
155,root/MB Glut/SCsg Pde5a Glut,1,#B899FF
156,root/MB Glut/SCop Sln Glut,1,#73FF98
157,root/MB Glut/PAG Ucn Glut,1,#009923
158,root/MB Glut/ND-INC Foxd2 Glut,1,#997817
159,root/MB GABA/PAG-MRN Rln3 Gaba,1,#CC7400
160,root/MB GABA/PPN-CUN-PCG Otp En1 Gaba,1,#DF99FF
161,root/MB GABA/MRN-PPN-CUN Pax8 Gaba,1,#3DCC66
162,root/MB GABA/MRN-VTN-PPN Pax5 Cdh23 Gaba,1,#82CC1F
163,root/MB GABA/SNr-VTA Pax5 Npas1 Gaba,1,#2E8799
164,root/MB GABA/PAG-PPN Pax5 Sox21 Gaba,1,#1D0066
165,root/MB GABA/SNr Six3 Gaba,1,#7A5C99
166,root/MB GABA/IC Six3 En2 Gaba,1,#C2FF26
167,root/MB GABA/PAG-MRN-RN Foxa2 Gaba,1,#ab1dd6
168,root/MB GABA/PAG-RN Nkx2-2 Otx1 Gaba,1,#7DFF4D
169,root/MB GABA/PRT Tcf7l2 Gaba,1,#474599
170,root/MB GABA/SC Otx2 Gcnt4 Gaba,1,#99685C
171,root/MB GABA/SC-PAG Lef1 Emx2 Gaba,1,#4D79FF
172,root/MB GABA/SCm-PAG Cdh23 Gaba,1,#CC5C69
173,root/MB GABA/SCs Dmbx1 Gaba,1,#4CCC3D
174,root/MB GABA/SC Lef1 Otx2 Gaba,1,#994F45
175,root/MB GABA/SCs Pax7 Nfia Gaba,1,#CC1F66
176,root/MB GABA/PRT Mecom Gaba,1,#CC6B3D
177,root/MB GABA/SC Tnnt1 Gli3 Gaba,1,#76CC5C
178,root/MB GABA/SCs Lef1 Gli3 Gaba,1,#FFA300
179,root/MB GABA/SCsg Gabrr2 Gaba,1,#0e0163
180,root/MB GABA/IPN Otp Crisp1 Gaba,1,#BCCC3D
181,root/MB Dopa/SNc-VTA-RAmb Foxa1 Dopa,1,#992E62
182,root/P Glut/PB Lmx1a Glut,1,#0F5666
183,root/P Glut/PB-SUT Tlx3 Lhx2 Glut,1,#4B2E66
184,root/P Glut/PB Pax5 Glut,1,#84FF73
185,root/P Glut/LDT-PCG Vsx2 Lhx4 Glut,1,#FF4DC7
186,root/P Glut/PB Evx2 Glut,1,#1F8ACC
187,root/P Glut/B-PB Nr4a2 Glut,1,#4ff7de
188,root/P Glut/PCG-PRNr Vsx2 Nkx6-1 Glut,1,#175B99
189,root/P Glut/PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,1,#559917
190,root/P Glut/PRNc-PARN Tlx1 Glut,1,#8C5CCC
191,root/P Glut/PB-PSV Phox2b Glut,1,#44FF26
