,path,value,color
377,root/NP-CT-L6b Glut/L6 CT CTX Glut/L6 CT CTX Glut_4,1,#3E662E
378,root/NP-CT-L6b Glut/L6 CT CTX Glut/L6 CT CTX Glut_5,1,#00FFFD
379,root/NP-CT-L6b Glut/L6 CT CTX Glut/L6 CT CTX Glut_6,1,#1F52CC
380,root/NP-CT-L6b Glut/CT SUB Glut/CT SUB Glut_1,1,#662D0F
381,root/NP-CT-L6b Glut/CT SUB Glut/CT SUB Glut_2,1,#009BCC
382,root/NP-CT-L6b Glut/L5 NP CTX Glut/L5 NP CTX Glut_1,1,#26FF73
383,root/NP-CT-L6b Glut/L5 NP CTX Glut/L5 NP CTX Glut_2,1,#935C99
384,root/NP-CT-L6b Glut/L5 NP CTX Glut/L5 NP CTX Glut_3,1,#662E53
385,root/NP-CT-L6b Glut/L5 NP CTX Glut/L5 NP CTX Glut_4,1,#54661F
386,root/NP-CT-L6b Glut/L5 NP CTX Glut/L5 NP CTX Glut_5,1,#FF73DB
387,root/NP-CT-L6b Glut/NP SUB Glut/NP SUB Glut_1,1,#006614
388,root/NP-CT-L6b Glut/NP SUB Glut/NP SUB Glut_2,1,#CC9A5C
389,root/NP-CT-L6b Glut/NP PPP Glut/NP PPP Glut_1,1,#574599
390,root/DG-IMN Glut/DG Glut/DG Glut_1,1,#F573FF
391,root/DG-IMN Glut/DG Glut/DG Glut_2,1,#FF9999
392,root/DG-IMN Glut/DG Glut/DG Glut_3,1,#FF7726
393,root/DG-IMN Glut/DG Glut/DG Glut_4,1,#643DCC
394,root/DG-IMN Glut/DG-PIR Ex IMN/DG-PIR Ex IMN_1,1,#389917
395,root/DG-IMN Glut/DG-PIR Ex IMN/DG-PIR Ex IMN_2,1,#CC7A3D
396,root/DG-IMN Glut/DG-PIR Ex IMN/DG-PIR Ex IMN_3,1,#FFBF26
397,root/LSX GABA/LSX Sall3 Pax6 Gaba/LSX Sall3 Pax6 Gaba_1,1,#EE4DFF
398,root/LSX GABA/LSX Sall3 Pax6 Gaba/LSX Sall3 Pax6 Gaba_2,1,#984599
399,root/LSX GABA/LSX Otx2 Gaba/LSX Otx2 Gaba_1,1,#4D96FF
400,root/LSX GABA/LSX Otx2 Gaba/LSX Otx2 Gaba_2,1,#784DFF
401,root/LSX GABA/LSX Otx2 Gaba/LSX Otx2 Gaba_3,1,#E1FF4D
402,root/LSX GABA/LSX Otx2 Gaba/LSX Otx2 Gaba_4,1,#CC1F8F
403,root/LSX GABA/LSX Otx2 Gaba/LSX Otx2 Gaba_5,1,#99FFA2
404,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_1,1,#A873FF
405,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_2,1,#CC5CAC
406,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_3,1,#CC0072
407,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_4,1,#0021FF
408,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_5,1,#8CCC7A
409,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_6,1,#51FF26
410,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_7,1,#2E3366
411,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_8,1,#5F663D
412,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_9,1,#0F665B
413,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_10,1,#1FCCAD
414,root/LSX GABA/LSX Nkx2-1 Gaba/LSX Nkx2-1 Gaba_11,1,#663D5C
415,root/LSX GABA/LSX Prdm12 Zeb2 Gaba/LSX Prdm12 Zeb2 Gaba_1,1,#73C9FF
416,root/LSX GABA/LSX Prdm12 Zeb2 Gaba/LSX Prdm12 Zeb2 Gaba_2,1,#88FF73
417,root/LSX GABA/LSX Prdm12 Zeb2 Gaba/LSX Prdm12 Zeb2 Gaba_3,1,#5E3D66
418,root/LSX GABA/LSX Prdm12 Zeb2 Gaba/LSX Prdm12 Zeb2 Gaba_4,1,#2E6630
419,root/LSX GABA/LSX Prdm12 Zeb2 Gaba/LSX Prdm12 Zeb2 Gaba_5,1,#991784
420,root/LSX GABA/LSX Prdm12 Slit2 Gaba/LSX Prdm12 Slit2 Gaba_1,1,#500F66
421,root/LSX GABA/LSX Prdm12 Slit2 Gaba/LSX Prdm12 Slit2 Gaba_2,1,#FF739D
422,root/LSX GABA/LSX Prdm12 Slit2 Gaba/LSX Prdm12 Slit2 Gaba_3,1,#CC7A00
423,root/LSX GABA/LSX Prdm12 Slit2 Gaba/LSX Prdm12 Slit2 Gaba_4,1,#005F99
424,root/LSX GABA/LSX Prdm12 Slit2 Gaba/LSX Prdm12 Slit2 Gaba_5,1,#FF73C4
425,root/LSX GABA/LSX Sall3 Lmo1 Gaba/LSX Sall3 Lmo1 Gaba_1,1,#A8FF00
426,root/LSX GABA/LSX Sall3 Lmo1 Gaba/LSX Sall3 Lmo1 Gaba_2,1,#CC002F
427,root/LSX GABA/LSX Sall3 Lmo1 Gaba/LSX Sall3 Lmo1 Gaba_3,1,#C17ACC
428,root/LSX GABA/LSX Sall3 Lmo1 Gaba/LSX Sall3 Lmo1 Gaba_4,1,#AE1FCC
429,root/LSX GABA/LSX Sall3 Lmo1 Gaba/LSX Sall3 Lmo1 Gaba_5,1,#641799
430,root/LSX GABA/LSX Sall3 Lmo1 Gaba/LSX Sall3 Lmo1 Gaba_6,1,#B91FCC
431,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_1,1,#7ACCCC
432,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_2,1,#3DCC00
433,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_3,1,#FF2642
434,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_4,1,#3D6664
435,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_5,1,#831FCC
436,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_6,1,#855C99
437,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_7,1,#4DAAFF
438,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_8,1,#CC9100
439,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_9,1,#8F9900
440,root/CNU-HYa GABA/MEA-BST Sox6 Gaba/MEA-BST Sox6 Gaba_10,1,#FF73AD
441,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba/MEA-BST Lhx6 Sp9 Gaba_1,1,#CCBF5C
442,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba/MEA-BST Lhx6 Sp9 Gaba_2,1,#4DFF55
443,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba/MEA-BST Lhx6 Sp9 Gaba_3,1,#665B3D
444,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba/MEA-BST Lhx6 Sp9 Gaba_4,1,#1FCC87
445,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba/MEA-BST Lhx6 Sp9 Gaba_5,1,#26FFBA
446,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba/MEA-BST Lhx6 Sp9 Gaba_6,1,#FFCA00
447,root/CNU-HYa GABA/MEA-BST Lhx6 Sp9 Gaba/MEA-BST Lhx6 Sp9 Gaba_7,1,#CC1F43
448,root/CNU-HYa GABA/MEA-BST Lhx6 Nr2e1 Gaba/MEA-BST Lhx6 Nr2e1 Gaba_1,1,#A04DFF
449,root/CNU-HYa GABA/MEA-BST Lhx6 Nr2e1 Gaba/MEA-BST Lhx6 Nr2e1 Gaba_2,1,#995C6A
450,root/CNU-HYa GABA/MEA-BST Lhx6 Nr2e1 Gaba/MEA-BST Lhx6 Nr2e1 Gaba_3,1,#FFCE4D
451,root/CNU-HYa GABA/MEA-BST Lhx6 Nfib Gaba/MEA-BST Lhx6 Nfib Gaba_1,1,#3D6656
452,root/CNU-HYa GABA/MEA-BST Lhx6 Nfib Gaba/MEA-BST Lhx6 Nfib Gaba_2,1,#96995C
453,root/CNU-HYa GABA/MEA-BST Lhx6 Nfib Gaba/MEA-BST Lhx6 Nfib Gaba_3,1,#FF3026
454,root/CNU-HYa GABA/MEA-BST Lhx6 Nfib Gaba/MEA-BST Lhx6 Nfib Gaba_4,1,#A400FF
455,root/CNU-HYa GABA/MEA-BST Lhx6 Nfib Gaba/MEA-BST Lhx6 Nfib Gaba_5,1,#3D6644
456,root/CNU-HYa GABA/MEA-BST Lhx6 Nfib Gaba/MEA-BST Lhx6 Nfib Gaba_6,1,#6F26FF
457,root/CNU-HYa GABA/CEA-BST Gal Avp Gaba/CEA-BST Gal Avp Gaba_1,1,#270099
458,root/CNU-HYa GABA/SI-MA-ACB Ebf1 Bnc2 Gaba/SI-MA-ACB Ebf1 Bnc2 Gaba_1,1,#99001F
459,root/CNU-HYa GABA/SI-MA-ACB Ebf1 Bnc2 Gaba/SI-MA-ACB Ebf1 Bnc2 Gaba_2,1,#664E00
460,root/CNU-HYa GABA/SI-MA-ACB Ebf1 Bnc2 Gaba/SI-MA-ACB Ebf1 Bnc2 Gaba_3,1,#38662E
461,root/CNU-HYa GABA/CEA-BST Six3 Cyp26b1 Gaba/CEA-BST Six3 Cyp26b1 Gaba_1,1,#660F30
462,root/CNU-HYa GABA/CEA-BST Six3 Cyp26b1 Gaba/CEA-BST Six3 Cyp26b1 Gaba_2,1,#FF934D
463,root/CNU-HYa GABA/CEA-BST Six3 Cyp26b1 Gaba/CEA-BST Six3 Cyp26b1 Gaba_3,1,#27CC00
464,root/CNU-HYa GABA/CEA-BST Six3 Cyp26b1 Gaba/CEA-BST Six3 Cyp26b1 Gaba_4,1,#99F7FF
465,root/CNU-HYa GABA/CEA-BST Six3 Cyp26b1 Gaba/CEA-BST Six3 Cyp26b1 Gaba_5,1,#76992E
466,root/CNU-HYa GABA/CEA-BST Six3 Cyp26b1 Gaba/CEA-BST Six3 Cyp26b1 Gaba_6,1,#336600
467,root/CNU-HYa GABA/ACB-BST-FS D1 Gaba/ACB-BST-FS D1 Gaba_1,1,#1F664F
468,root/CNU-HYa GABA/ACB-BST-FS D1 Gaba/ACB-BST-FS D1 Gaba_2,1,#FFFB73
469,root/CNU-HYa GABA/ACB-BST-FS D1 Gaba/ACB-BST-FS D1 Gaba_3,1,#469917
470,root/CNU-HYa GABA/SI-MPO-LPO Lhx8 Gaba/SI-MPO-LPO Lhx8 Gaba_1,1,#FA99FF
471,root/CNU-HYa GABA/SI-MPO-LPO Lhx8 Gaba/SI-MPO-LPO Lhx8 Gaba_2,1,#664A0F
472,root/CNU-HYa GABA/SI-MPO-LPO Lhx8 Gaba/SI-MPO-LPO Lhx8 Gaba_3,1,#994591
473,root/CNU-HYa GABA/SI-MPO-LPO Lhx8 Gaba/SI-MPO-LPO Lhx8 Gaba_4,1,#998200
474,root/CNU-HYa GABA/SI-MPO-LPO Lhx8 Gaba/SI-MPO-LPO Lhx8 Gaba_5,1,#006ECC
475,root/CNU-HYa GABA/SI-MPO-LPO Lhx8 Gaba/SI-MPO-LPO Lhx8 Gaba_6,1,#612E66
476,root/CNU-HYa GABA/MPO-ADP Lhx8 Gaba/MPO-ADP Lhx8 Gaba_1,1,#FCFF00
477,root/CNU-HYa GABA/MPO-ADP Lhx8 Gaba/MPO-ADP Lhx8 Gaba_2,1,#FFE24D
478,root/CNU-HYa GABA/MPO-ADP Lhx8 Gaba/MPO-ADP Lhx8 Gaba_3,1,#6E995C
479,root/CNU-HYa GABA/MPO-ADP Lhx8 Gaba/MPO-ADP Lhx8 Gaba_4,1,#003DFF
480,root/CNU-HYa GABA/MPO-ADP Lhx8 Gaba/MPO-ADP Lhx8 Gaba_5,1,#FF0042
481,root/CNU-HYa GABA/MPN-MPO-LPO Lhx6 Zfhx3 Gaba/MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,1,#FF738E
482,root/CNU-HYa GABA/MPN-MPO-LPO Lhx6 Zfhx3 Gaba/MPN-MPO-LPO Lhx6 Zfhx3 Gaba_2,1,#99BFFF
483,root/CNU-HYa GABA/BST Tac2 Gaba/BST Tac2 Gaba_1,1,#CC3DC6
484,root/CNU-HYa GABA/BST Tac2 Gaba/BST Tac2 Gaba_2,1,#7E9900
485,root/HY GABA/TMv-PMv Tbx3 Hist-Gaba/TMv-PMv Tbx3 Hist-Gaba_1,1,#3D661F
486,root/HY GABA/TMv-PMv Tbx3 Hist-Gaba/TMv-PMv Tbx3 Hist-Gaba_2,1,#2D1799
487,root/HY GABA/RT-ZI Gnb3 Gaba/RT-ZI Gnb3 Gaba_1,1,#99FFFC
488,root/HY GABA/RT-ZI Gnb3 Gaba/RT-ZI Gnb3 Gaba_2,1,#93FF4D
489,root/HY GABA/RT-ZI Gnb3 Gaba/RT-ZI Gnb3 Gaba_3,1,#29CC1F
490,root/HY GABA/RT-ZI Gnb3 Gaba/RT-ZI Gnb3 Gaba_4,1,#179930
491,root/HY GABA/RT-ZI Gnb3 Gaba/RT-ZI Gnb3 Gaba_5,1,#90995C
492,root/HY GABA/SCH Six6 Cdc14a Gaba/SCH Six6 Cdc14a Gaba_1,1,#00FF8D
493,root/HY GABA/SCH Six6 Cdc14a Gaba/SCH Six6 Cdc14a Gaba_2,1,#66110F
494,root/HY GABA/SCH Six6 Cdc14a Gaba/SCH Six6 Cdc14a Gaba_3,1,#961FCC
495,root/HY GABA/DMH Prdm13 Gaba/DMH Prdm13 Gaba_1,1,#FF73EA
496,root/HY GABA/DMH Prdm13 Gaba/DMH Prdm13 Gaba_2,1,#75995C
497,root/HY GABA/PVHd Gsc Gaba/PVHd Gsc Gaba_1,1,#854599
498,root/HY GABA/PVHd-SBPV Six3 Prox1 Gaba/PVHd-SBPV Six3 Prox1 Gaba_1,1,#9D7ACC
499,root/HY GABA/PVHd-SBPV Six3 Prox1 Gaba/PVHd-SBPV Six3 Prox1 Gaba_2,1,#663800
500,root/HY GABA/PVHd-SBPV Six3 Prox1 Gaba/PVHd-SBPV Six3 Prox1 Gaba_3,1,#661F47
501,root/HY GABA/PVHd-SBPV Six3 Prox1 Gaba/PVHd-SBPV Six3 Prox1 Gaba_4,1,#48663D
502,root/HY GABA/AHN Onecut3 Gaba/AHN Onecut3 Gaba_1,1,#1FCCC0
503,root/HY GABA/AHN Onecut3 Gaba/AHN Onecut3 Gaba_2,1,#7AB1CC
504,root/HY GABA/AHN Onecut3 Gaba/AHN Onecut3 Gaba_3,1,#036600
505,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_1,1,#1F1799
506,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_2,1,#CC7A86
507,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_3,1,#CC5A3D
508,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_4,1,#52660F
509,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_5,1,#73FF9B
510,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_6,1,#00FF1D
511,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_7,1,#453DCC
512,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_8,1,#299917
513,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_9,1,#99457F
514,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_10,1,#4A1FCC
515,root/HY GABA/ZI Pax6 Gaba/ZI Pax6 Gaba_11,1,#FFAF99
516,root/HY GABA/DMH-LHA Gsx1 Gaba/DMH-LHA Gsx1 Gaba_1,1,#7C4599
517,root/HY GABA/DMH-LHA Gsx1 Gaba/DMH-LHA Gsx1 Gaba_2,1,#0F662C
518,root/HY GABA/DMH-LHA Gsx1 Gaba/DMH-LHA Gsx1 Gaba_3,1,#483D66
519,root/HY GABA/DMH-LHA Gsx1 Gaba/DMH-LHA Gsx1 Gaba_4,1,#466600
520,root/HY GABA/PVHd-DMH Lhx6 Gaba/PVHd-DMH Lhx6 Gaba_1,1,#73E7FF
521,root/HY GABA/PVHd-DMH Lhx6 Gaba/PVHd-DMH Lhx6 Gaba_2,1,#859945
522,root/HY GABA/PVHd-DMH Lhx6 Gaba/PVHd-DMH Lhx6 Gaba_3,1,#FF5A00
523,root/HY GABA/PVHd-DMH Lhx6 Gaba/PVHd-DMH Lhx6 Gaba_4,1,#5726FF
524,root/HY GABA/TU-ARH Otp Six6 Gaba/TU-ARH Otp Six6 Gaba_1,1,#7B9945
525,root/HY GABA/TU-ARH Otp Six6 Gaba/TU-ARH Otp Six6 Gaba_2,1,#CC2100
526,root/HY GABA/TU-ARH Otp Six6 Gaba/TU-ARH Otp Six6 Gaba_3,1,#4F00FF
527,root/HY GABA/TMd-DMH Foxd2 Gaba/TMd-DMH Foxd2 Gaba_1,1,#1F3666
528,root/HY GABA/PVpo-VMPO-MPN Hmx2 Gaba/PVpo-VMPO-MPN Hmx2 Gaba_1,1,#DB4DFF
529,root/HY GABA/PVpo-VMPO-MPN Hmx2 Gaba/PVpo-VMPO-MPN Hmx2 Gaba_2,1,#3DCCA6
530,root/HY GABA/PVpo-VMPO-MPN Hmx2 Gaba/PVpo-VMPO-MPN Hmx2 Gaba_3,1,#26B4FF
531,root/HY GABA/PVpo-VMPO-MPN Hmx2 Gaba/PVpo-VMPO-MPN Hmx2 Gaba_4,1,#990095
532,root/HY GABA/PVpo-VMPO-MPN Hmx2 Gaba/PVpo-VMPO-MPN Hmx2 Gaba_5,1,#00CC8D
533,root/HY GABA/DMH Hmx2 Gaba/DMH Hmx2 Gaba_1,1,#2E8F99
534,root/HY GABA/DMH Hmx2 Gaba/DMH Hmx2 Gaba_2,1,#994550
535,root/HY GABA/DMH Hmx2 Gaba/DMH Hmx2 Gaba_3,1,#734599
536,root/HY GABA/DMH Hmx2 Gaba/DMH Hmx2 Gaba_4,1,#995C5C
537,root/HY GABA/DMH Hmx2 Gaba/DMH Hmx2 Gaba_5,1,#4DFFF2
538,root/HY GABA/DMH Hmx2 Gaba/DMH Hmx2 Gaba_6,1,#738BFF
539,root/HY GABA/ARH-PVp Tbx3 Gaba/ARH-PVp Tbx3 Gaba_1,1,#FFA499
540,root/HY GABA/ARH-PVp Tbx3 Gaba/ARH-PVp Tbx3 Gaba_2,1,#171E99
541,root/HY GABA/ARH-PVp Tbx3 Gaba/ARH-PVp Tbx3 Gaba_3,1,#B799FF
542,root/HY GABA/LGv-ZI Otx2 Gaba/LGv-ZI Otx2 Gaba_1,1,#AF7ACC
543,root/HY GABA/LGv-ZI Otx2 Gaba/LGv-ZI Otx2 Gaba_2,1,#66453D
544,root/HY GABA/LGv-ZI Otx2 Gaba/LGv-ZI Otx2 Gaba_3,1,#997F45
545,root/HY GABA/LGv-ZI Otx2 Gaba/LGv-ZI Otx2 Gaba_4,1,#5C9199
546,root/HY GABA/LGv-ZI Otx2 Gaba/LGv-ZI Otx2 Gaba_5,1,#5C6299
547,root/CNU-HYa Glut/BST-po Iigp1 Glut/BST-po Iigp1 Glut_1,1,#26FFA3
548,root/CNU-HYa Glut/TRS-BAC Sln Glut/TRS-BAC Sln Glut_1,1,#3D5F66
549,root/CNU-HYa Glut/TRS-BAC Sln Glut/TRS-BAC Sln Glut_2,1,#8E4599
550,root/CNU-HYa Glut/MEA-COA-BMA Ccdc42 Glut/MEA-COA-BMA Ccdc42 Glut_1,1,#CC1FC8
551,root/CNU-HYa Glut/MEA-COA-BMA Ccdc42 Glut/MEA-COA-BMA Ccdc42 Glut_2,1,#7F9917
552,root/CNU-HYa Glut/MEA-COA-BMA Ccdc42 Glut/MEA-COA-BMA Ccdc42 Glut_3,1,#FF26D1
553,root/CNU-HYa Glut/MEA-COA-BMA Ccdc42 Glut/MEA-COA-BMA Ccdc42 Glut_4,1,#BDFF99
554,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_1,1,#0059FF
555,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_2,1,#992417
556,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_3,1,#3B992E
557,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_4,1,#FF4D9A
558,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_5,1,#663E2E
559,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_6,1,#7973FF
560,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_7,1,#CCC83D
561,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_8,1,#7ACC9F
562,root/CNU-HYa Glut/COAa-PAA-MEA Barhl2 Glut/COAa-PAA-MEA Barhl2 Glut_9,1,#CBCC7A
563,root/CNU-HYa Glut/MS-SF Bsx Glut/MS-SF Bsx Glut_1,1,#CC5C62
564,root/CNU-HYa Glut/AVPV-MEPO-SFO Tbr1 Glut/AVPV-MEPO-SFO Tbr1 Glut_1,1,#663D4A
565,root/CNU-HYa Glut/AVPV-MEPO-SFO Tbr1 Glut/AVPV-MEPO-SFO Tbr1 Glut_2,1,#CC3D97
566,root/CNU-HYa Glut/AVPV-MEPO-SFO Tbr1 Glut/AVPV-MEPO-SFO Tbr1 Glut_3,1,#0200CC
567,root/CNU-HYa Glut/AVPV-MEPO-SFO Tbr1 Glut/AVPV-MEPO-SFO Tbr1 Glut_4,1,#99173D
568,root/CNU-HYa Glut/AVPV-MEPO-SFO Tbr1 Glut/AVPV-MEPO-SFO Tbr1 Glut_5,1,#2E4C66
569,root/CNU-HYa Glut/LHA Barhl2 Glut/LHA Barhl2 Glut_1,1,#5C661F
570,root/CNU-HYa Glut/LHA Barhl2 Glut/LHA Barhl2 Glut_2,1,#CC3DB6
571,root/CNU-HYa Glut/LHA Barhl2 Glut/LHA Barhl2 Glut_3,1,#B500CC
572,root/CNU-HYa Glut/ADP-MPO Trp73 Glut/ADP-MPO Trp73 Glut_1,1,#8C5C99
573,root/CNU-HYa Glut/ADP-MPO Trp73 Glut/ADP-MPO Trp73 Glut_2,1,#CC5CB8
574,root/CNU-HYa Glut/ADP-MPO Trp73 Glut/ADP-MPO Trp73 Glut_3,1,#FF005E
575,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_1,1,#1D0066
576,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_2,1,#17995A
577,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_3,1,#0F5466
578,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_4,1,#FF4DE9
579,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_5,1,#FFBB99
580,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_6,1,#99B4FF
581,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_7,1,#CCA93D
582,root/CNU-HYa Glut/SI-MA-LPO-LHA Skor1 Glut/SI-MA-LPO-LHA Skor1 Glut_8,1,#5C660F
583,root/CNU-HYa Glut/LHA-MEA Otp Glut/LHA-MEA Otp Glut_1,1,#459099
584,root/CNU-HYa Glut/LHA-MEA Otp Glut/LHA-MEA Otp Glut_2,1,#997A17
585,root/HY Glut/DMH Nkx2-4 Glut/DMH Nkx2-4 Glut_1,1,#947ACC
586,root/HY Glut/DMH Nkx2-4 Glut/DMH Nkx2-4 Glut_2,1,#FF0026
587,root/HY Glut/MPN-MPO-PVpo Hmx2 Glut/MPN-MPO-PVpo Hmx2 Glut_1,1,#7ACCC3
588,root/HY Glut/MPN-MPO-PVpo Hmx2 Glut/MPN-MPO-PVpo Hmx2 Glut_2,1,#FF262A
589,root/HY Glut/MPN-MPO-PVpo Hmx2 Glut/MPN-MPO-PVpo Hmx2 Glut_3,1,#CC009F
590,root/HY Glut/MPN-MPO-PVpo Hmx2 Glut/MPN-MPO-PVpo Hmx2 Glut_4,1,#00662A
591,root/HY Glut/MPN-MPO-PVpo Hmx2 Glut/MPN-MPO-PVpo Hmx2 Glut_5,1,#5A0F66
592,root/HY Glut/MPN-MPO-PVpo Hmx2 Glut/MPN-MPO-PVpo Hmx2 Glut_6,1,#FF8F26
593,root/HY Glut/DMH Hmx2 Glut/DMH Hmx2 Glut_1,1,#454F99
594,root/HY Glut/DMH Hmx2 Glut/DMH Hmx2 Glut_2,1,#001066
595,root/HY Glut/ARH-PVp Tbx3 Glut/ARH-PVp Tbx3 Glut_1,1,#FF00EA
596,root/HY Glut/ARH-PVp Tbx3 Glut/ARH-PVp Tbx3 Glut_2,1,#75CC1F
597,root/HY Glut/ARH-PVp Tbx3 Glut/ARH-PVp Tbx3 Glut_3,1,#660060
598,root/HY Glut/ARH-PVp Tbx3 Glut/ARH-PVp Tbx3 Glut_4,1,#8CFF00
599,root/HY Glut/ARH-PVp Tbx3 Glut/ARH-PVp Tbx3 Glut_5,1,#67995C
600,root/HY Glut/DMH-LHA Vgll2 Glut/DMH-LHA Vgll2 Glut_1,1,#5A2E66
601,root/HY Glut/DMH-LHA Vgll2 Glut/DMH-LHA Vgll2 Glut_2,1,#44663D
602,root/HY Glut/DMH-LHA Vgll2 Glut/DMH-LHA Vgll2 Glut_3,1,#997A5C
603,root/HY Glut/DMH-LHA Vgll2 Glut/DMH-LHA Vgll2 Glut_4,1,#995F5C
604,root/HY Glut/VMH Fezf1 Glut/VMH Fezf1 Glut_1,1,#2E6636
605,root/HY Glut/VMH Fezf1 Glut/VMH Fezf1 Glut_2,1,#66312E
606,root/HY Glut/VMH Fezf1 Glut/VMH Fezf1 Glut_3,1,#38FF00
607,root/HY Glut/VMH Nr5a1 Glut/VMH Nr5a1 Glut_1,1,#C75CCC
608,root/HY Glut/VMH Nr5a1 Glut/VMH Nr5a1 Glut_2,1,#006609
609,root/HY Glut/VMH Nr5a1 Glut/VMH Nr5a1 Glut_3,1,#00CCB9
610,root/HY Glut/VMH Nr5a1 Glut/VMH Nr5a1 Glut_4,1,#089900
611,root/HY Glut/VMH Nr5a1 Glut/VMH Nr5a1 Glut_5,1,#FF4826
612,root/HY Glut/VMH Nr5a1 Glut/VMH Nr5a1 Glut_6,1,#0075FF
613,root/HY Glut/LHA Pmch Glut/LHA Pmch Glut_1,1,#1F663F
614,root/HY Glut/LHA Pmch Glut/LHA Pmch Glut_2,1,#CCB83D
615,root/HY Glut/PVH-SO-PVa Otp Glut/PVH-SO-PVa Otp Glut_1,1,#003266
616,root/HY Glut/PVH-SO-PVa Otp Glut/PVH-SO-PVa Otp Glut_2,1,#00C8CC
617,root/HY Glut/PVH-SO-PVa Otp Glut/PVH-SO-PVa Otp Glut_3,1,#63663D
618,root/HY Glut/PVH-SO-PVa Otp Glut/PVH-SO-PVa Otp Glut_4,1,#A6FF4D
